,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,6,18,19,30,51,90,84,36,106,101,62,39,39,60,94,77,39,65,61,95,15,41,92,102,57,87,36,81,5,28,18,90,18,99,67,8,91,89,55,30
1,47,92,109,42,104,74,71,6,108,49,22,36,92,12,34,49,45,11,89,39,54,105,80,84,85,71,68,93,97,1,2,106,74,59,103,104,66,16,57,37
2,87,9,8,17,70,25,81,51,1,17,66,86,35,106,51,86,109,100,8,37,56,38,109,17,108,100,22,34,63,2,80,70,46,99,11,69,75,82,21,23
3,26,12,27,15,14,2,77,8,26,66,62,92,16,42,43,96,80,50,102,34,42,78,12,47,73,86,53,16,67,65,107,66,3,63,19,64,109,23,104,59
4,39,38,108,5,57,28,35,50,60,106,52,106,81,35,97,81,28,108,99,84,52,68,75,9,34,7,55,76,91,14,88,33,77,105,7,35,17,59,48,8
5,30,5,68,26,19,81,86,64,87,48,26,70,16,26,72,89,63,69,84,3,5,11,87,79,53,87,13,46,68,3,57,109,8,101,81,53,53,11,10,4
6,19,50,80,46,36,94,53,86,76,81,53,88,26,79,43,33,60,6,57,93,100,4,23,2,99,19,92,53,24,19,81,105,95,12,74,29,52,69,32,18
7,99,87,107,41,87,42,100,65,22,29,77,81,94,4,49,91,19,37,81,103,55,106,76,42,83,54,65,109,103,83,8,45,9,36,86,11,41,55,83,98
8,22,56,19,45,92,107,57,96,26,42,26,78,16,99,25,39,72,81,54,25,23,23,11,103,62,14,54,59,15,53,31,53,35,71,7,84,53,3,61,9
9,78,88,4,66,44,63,58,105,28,67,80,85,82,46,27,58,31,100,76,23,58,89,78,21,76,72,38,24,94,97,19,90,42,105,98,71,21,86,70,75
10,34,90,91,38,102,101,108,57,21,89,98,88,97,65,26,8,36,59,80,87,7,3,106,80,24,69,61,106,92,68,16,27,63,41,7,34,5,34,30,39
11,30,76,80,54,77,91,90,22,6,11,50,11,12,18,23,31,104,31,78,7,49,69,17,70,108,46,70,35,75,36,36,14,99,2,46,105,32,61,15,59
12,16,90,94,46,51,39,70,95,31,32,22,98,24,48,56,74,21,29,76,56,9,67,95,91,41,98,3,78,85,43,42,15,72,13,85,98,88,32,87,41
13,86,92,101,83,62,14,45,73,7,103,57,53,26,76,97,1,97,97,96,107,25,89,87,52,63,29,23,33,68,67,69,71,16,94,85,60,10,104,19,25
14,40,84,106,25,57,66,36,32,70,12,48,100,85,67,74,43,67,15,50,52,67,29,2,25,10,58,105,21,84,105,48,48,97,45,33,59,85,82,4,97
15,44,17,34,59,80,11,55,101,3,69,50,25,109,77,81,12,71,103,20,50,12,33,57,22,78,8,58,15,40,85,30,17,89,35,38,19,102,54,69,76
16,102,47,100,101,105,6,67,19,87,83,50,87,72,10,101,69,53,32,6,63,82,13,32,58,17,6,62,109,81,109,58,79,71,73,48,63,25,16,60,31
17,101,95,73,96,85,70,17,96,36,97,62,13,69,59,23,21,44,77,70,45,54,36,12,100,51,18,25,59,72,60,15,57,49,44,31,28,39,79,84,11
18,87,57,65,52,69,10,77,67,15,58,37,45,39,74,11,1,66,6,35,74,60,56,57,7,90,13,105,16,24,62,40,73,37,76,49,36,92,54,40,38
19,9,99,109,29,15,10,16,30,70,12,2,62,49,11,33,79,41,30,64,73,54,56,80,58,94,89,4,22,31,38,69,81,36,90,83,48,9,75,14,58
20,51,84,74,39,73,56,69,38,74,101,77,15,52,6,105,83,53,98,30,63,74,6,89,59,74,43,78,25,98,85,12,59,88,52,51,104,44,95,82,49
21,73,62,47,19,57,47,108,92,67,42,28,88,23,10,19,105,17,107,8,52,100,9,83,64,58,2,6,74,38,51,32,19,76,83,3,50,104,57,32,100
22,59,92,30,83,64,6,70,30,21,87,92,3,73,71,20,92,11,2,92,50,22,91,56,73,94,65,14,24,7,45,62,87,1,12,83,27,12,8,40,70
23,83,93,8,64,61,71,14,25,101,102,27,27,1,32,2,86,4,55,69,106,80,7,16,84,102,90,26,45,41,7,18,20,56,61,75,100,93,59,41,74
24,91,62,77,18,52,2,43,87,30,46,57,82,25,97,47,91,85,82,87,37,41,65,76,99,3,21,18,36,31,75,75,48,5,60,57,62,91,91,1,102
25,89,104,64,39,37,86,73,73,44,56,16,27,11,89,72,25,6,63,28,47,6,91,18,35,91,91,97,3,90,53,38,83,72,99,42,93,83,91,19,80
26,64,63,93,88,68,104,105,11,38,105,30,15,73,40,10,78,7,81,105,36,98,37,59,56,19,50,30,23,11,15,34,46,19,23,46,70,36,27,98,29
27,53,39,95,39,31,107,11,81,10,1,73,83,61,84,26,48,52,80,109,3,26,14,69,73,57,101,97,99,85,26,108,23,47,92,97,18,20,16,39,31
28,30,58,31,2,5,91,9,106,1,17,43,94,47,2,70,29,18,65,25,16,14,15,73,66,70,108,4,39,45,98,88,47,32,47,105,33,82,43,48,24
29,39,2,66,96,102,67,18,39,68,79,79,98,100,50,68,55,30,81,31,50,32,75,52,75,61,33,43,89,20,25,42,108,93,61,24,49,73,16,2,42
