,sepal_length,sepal_width,petal_length,petal_width,species,sl_extra,zero,zeros +1,squared_petal_length
0,5.1,3.5,1.4,0.2,setosa,5.1,0,1,1.9599999999999997
1,4.9,3.0,1.4,0.2,setosa,4.9,0,1,1.9599999999999997
2,4.7,3.2,1.3,0.2,setosa,4.7,0,1,1.6900000000000002
3,4.6,3.1,,0.2,setosa,4.6,0,1,
4,5.0,3.6,1.4,0.2,setosa,5.0,0,1,1.9599999999999997
5,5.4,3.9,1.7,0.4,setosa,5.4,0,1,2.8899999999999997
6,4.6,,1.4,0.3,setosa,4.6,0,1,1.9599999999999997
7,5.0,3.4,1.5,0.2,setosa,5.0,0,1,2.25
8,4.4,2.9,1.4,0.2,setosa,4.4,0,1,1.9599999999999997
9,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
10,5.4,3.7,1.5,,setosa,5.4,0,1,2.25
11,4.8,3.4,1.6,0.2,setosa,4.8,0,1,2.5600000000000005
12,4.8,3.0,1.4,0.1,setosa,4.8,0,1,1.9599999999999997
13,4.3,3.0,1.1,0.1,setosa,4.3,0,1,1.2100000000000002
14,5.8,4.0,1.2,0.2,setosa,5.8,0,1,1.44
15,5.7,4.4,1.5,0.4,setosa,5.7,0,1,2.25
16,5.4,3.9,1.3,0.4,setosa,5.4,0,1,1.6900000000000002
17,5.1,3.5,1.4,0.3,setosa,5.1,0,1,1.9599999999999997
18,5.7,,1.7,0.3,setosa,5.7,0,1,2.8899999999999997
19,5.1,3.8,1.5,0.3,setosa,5.1,0,1,2.25
20,5.4,3.4,1.7,0.2,setosa,5.4,0,1,2.8899999999999997
21,5.1,3.7,1.5,0.4,setosa,5.1,0,1,2.25
22,4.6,3.6,1.0,0.2,setosa,4.6,0,1,1.0
23,5.1,3.3,1.7,0.5,setosa,5.1,0,1,2.8899999999999997
24,4.8,3.4,1.9,0.2,setosa,4.8,0,1,3.61
25,5.0,,,0.2,setosa,5.0,0,1,
26,5.0,3.4,1.6,0.4,setosa,5.0,0,1,2.5600000000000005
27,5.2,3.5,1.5,0.2,setosa,5.2,0,1,2.25
28,5.2,3.4,,0.2,setosa,5.2,0,1,
29,4.7,3.2,1.6,0.2,setosa,4.7,0,1,2.5600000000000005
30,4.8,,1.6,0.2,setosa,4.8,0,1,2.5600000000000005
31,5.4,3.4,1.5,0.4,setosa,5.4,0,1,2.25
32,5.2,4.1,1.5,0.1,setosa,5.2,0,1,2.25
33,5.5,4.2,1.4,0.2,setosa,5.5,0,1,1.9599999999999997
34,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
35,5.0,3.2,,0.2,setosa,5.0,0,1,
36,5.5,3.5,1.3,0.2,setosa,5.5,0,1,1.6900000000000002
37,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
38,4.4,3.0,1.3,0.2,setosa,4.4,0,1,1.6900000000000002
39,5.1,3.4,1.5,0.2,setosa,5.1,0,1,2.25
40,5.0,3.5,1.3,0.3,setosa,5.0,0,1,1.6900000000000002
41,4.5,2.3,1.3,0.3,setosa,4.5,0,1,1.6900000000000002
42,4.4,3.2,1.3,0.2,setosa,4.4,0,1,1.6900000000000002
43,5.0,3.5,1.6,0.6,setosa,5.0,0,1,2.5600000000000005
44,5.1,3.8,1.9,0.4,setosa,5.1,0,1,3.61
45,4.8,3.0,1.4,0.3,setosa,4.8,0,1,1.9599999999999997
46,5.1,3.8,1.6,0.2,setosa,5.1,0,1,2.5600000000000005
47,4.6,3.2,1.4,0.2,setosa,4.6,0,1,1.9599999999999997
48,5.3,3.7,1.5,0.2,setosa,5.3,0,1,2.25
49,5.0,3.3,1.4,0.2,setosa,5.0,0,1,1.9599999999999997
50,7.0,3.2,4.7,1.4,versicolor,7.0,0,1,22.090000000000003
51,6.4,3.2,4.5,1.5,versicolor,6.4,0,1,20.25
52,6.9,3.1,4.9,1.5,versicolor,6.9,0,1,24.010000000000005
53,5.5,2.3,4.0,1.3,versicolor,5.5,0,1,16.0
54,6.5,2.8,4.6,1.5,versicolor,6.5,0,1,21.159999999999997
55,5.7,2.8,4.5,1.3,versicolor,5.7,0,1,20.25
56,6.3,3.3,4.7,1.6,versicolor,6.3,0,1,22.090000000000003
57,4.9,2.4,3.3,1.0,versicolor,4.9,0,1,10.889999999999999
58,6.6,2.9,4.6,1.3,versicolor,6.6,0,1,21.159999999999997
59,5.2,2.7,3.9,1.4,versicolor,5.2,0,1,15.209999999999999
60,5.0,2.0,3.5,1.0,versicolor,5.0,0,1,12.25
61,5.9,3.0,4.2,1.5,versicolor,5.9,0,1,17.64
62,6.0,2.2,4.0,1.0,versicolor,6.0,0,1,16.0
63,6.1,2.9,4.7,1.4,versicolor,6.1,0,1,22.090000000000003
64,5.6,2.9,3.6,1.3,versicolor,5.6,0,1,12.96
65,6.7,3.1,4.4,1.4,versicolor,6.7,0,1,19.360000000000003
66,5.6,3.0,4.5,1.5,versicolor,5.6,0,1,20.25
67,5.8,2.7,4.1,1.0,versicolor,5.8,0,1,16.81
68,6.2,2.2,4.5,1.5,versicolor,6.2,0,1,20.25
69,5.6,2.5,3.9,1.1,versicolor,5.6,0,1,15.209999999999999
70,5.9,3.2,4.8,1.8,versicolor,5.9,0,1,23.04
71,6.1,2.8,4.0,1.3,versicolor,6.1,0,1,16.0
72,6.3,2.5,4.9,1.5,versicolor,6.3,0,1,24.010000000000005
73,6.1,2.8,4.7,1.2,versicolor,6.1,0,1,22.090000000000003
74,6.4,2.9,4.3,1.3,versicolor,6.4,0,1,18.49
75,6.6,3.0,4.4,1.4,versicolor,6.6,0,1,19.360000000000003
76,6.8,2.8,4.8,1.4,versicolor,6.8,0,1,23.04
77,6.7,3.0,5.0,1.7,versicolor,6.7,0,1,25.0
78,6.0,2.9,4.5,1.5,versicolor,6.0,0,1,20.25
79,5.7,2.6,3.5,1.0,versicolor,5.7,0,1,12.25
80,5.5,2.4,3.8,1.1,versicolor,5.5,0,1,14.44
