specy_id,infraorder,family,genus,specy,wikipedia,image,size
bottlenose_dolphin,Cetacea,Delphinidae,tursiops,T. truncatus,https://en.wikipedia.org/wiki/Bottlenose_dolphin,https://upload.wikimedia.org/wikipedia/commons/1/10/Tursiops_truncatus_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/Bottlenose_dolphin_size.svg
beluga,Cetacea,Monodontidae,Delphinapterus,D. leucas,https://en.wikipedia.org/wiki/Beluga_whale,https://upload.wikimedia.org/wikipedia/commons/e/e8/Oceanogràfic_29102004.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Beluga_size.svg
humpback_whale,Cetacea,Balaenopteridae,Megaptera,M. novaeangliae,https://en.wikipedia.org/wiki/Humpback_whale,https://upload.wikimedia.org/wikipedia/commons/6/61/Humpback_Whale_underwater_shot.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Humpback_whale_size_%28color%29.svg
blue_whale,Cetacea,Balaenopteridae,Balaenoptera,B. musculus,https://en.wikipedia.org/wiki/Blue_whale,https://upload.wikimedia.org/wikipedia/commons/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Blue_whale_size.svg
false_killer_whale,Cetacea,Delphinidae,Pseudorca,P. crassidens,https://en.wikipedia.org/wiki/False_killer_whale,https://upload.wikimedia.org/wikipedia/commons/7/76/False_killer_whale_890002.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/False_killer_whale_size.svg
dusky_dolphin,Cetacea,Delphinidae,Lagenorhynchus,L. obscurus,https://en.wikipedia.org/wiki/Dusky_dolphin,https://upload.wikimedia.org/wikipedia/commons/1/13/DuskyDolphin.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Dusky_dolphin_size.svg
spinner_dolphin,Cetacea,Delphinidae,Stenella,S. longirostris,https://en.wikipedia.org/wiki/Spinner_dolphin,https://upload.wikimedia.org/wikipedia/commons/6/64/A_spinner_dolphin_in_the_Red_Sea.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Spinner_dolphin_size.svg
melon_headed_whale,Cetacea,Delphinidae,Peponocephala,P. electra,https://en.wikipedia.org/wiki/Melon-headed_whale,https://upload.wikimedia.org/wikipedia/commons/4/4e/Peponocephala_electra_Mayotte.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Melon-headed_whale_size.svg
minke_whale,Cetacea,Balaenopteridae,Balaenoptera,B. acutorostrata,https://en.wikipedia.org/wiki/Minke_whale,https://upload.wikimedia.org/wikipedia/commons/d/d9/Minke_Whale_%28NOAA%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Minke_whale_size.svg
killer_whale,Cetacea,Delphinidae,Orcinus,O. orca,https://en.wikipedia.org/wiki/Orca,https://upload.wikimedia.org/wikipedia/commons/3/37/Killerwhales_jumping.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Orca_size-2.svg
